,,TOTAL,,,,,BUY,,,,,SELL,,,,,Net Flows,,,,
Date,Total Turnover,Retail,Institutional,Foreign,Regional,Local,Retail,Institutional,Local,Foreign,Regional,Retail,Institutional,Local,Foreign,Regional,Retail,Institutional,Local,Foreign,Regional
"February 5, 2008",1526174453,940123463.05,586050989.95,317444286.22,151091270.85,1057638895.93,917230846.25,608943606.75,1043903325.85,344915426.38,137355700.77,964542254.3,561632198.7,1071374466.01,289973146.07,166353015.38,-47311408.04,47311408.04,-27471140.15,54942280.31,-28997314.61
"February 6, 2008",1457358860,897733057.76,559625802.24,342479332.1,126790220.82,988089307.08,891903622.32,565455237.68,953112694.44,374541227.02,131162297.4,903562493.2,553796366.8,1024523278.58,311874796.04,122418144.24,-11658870.88,11658870.88,-71410584.14,62666430.98,8744153.16
"February 7, 2008",1364682619,866573463.07,498109155.94,319335732.85,132374214.04,912972672.11,884314337.11,480368281.89,977112755.2,302959541.42,84610322.38,848832589.02,515850029.98,848832589.02,335711924.27,181502788.33,35481748.09,-35481748.09,128280166.19,-32752382.86,-96892465.95
"February 10, 2008",918927423,714006607.67,204920815.33,103838798.8,79946685.8,735141938.4,758115123.98,160812299.03,786601874.09,59730282.5,72595266.42,670817018.79,248110404.21,683682002.71,147947315.1,87298105.19,87298105.18,-87298105.19,102919871.38,-88217032.61,-14702838.77
"February 11, 2008",1191379014,839922204.87,351456809.13,177515473.09,144156860.69,869706680.22,848261857.97,343117156.03,874472196.28,194194779.28,123903417.46,831582551.77,359796462.23,866132543.18,160836166.89,164410303.93,16679306.2,-16679306.2,8339653.1,33358612.39,-40506886.48
"February 12, 2008",1355565059,845872596.82,509692462.18,162667807.08,97600684.25,1095296567.67,657449053.62,698116005.39,1068185266.49,183001282.97,104378509.54,1034296140.02,321268918.98,1123763433.91,140978766.14,90822858.95,-376847086.4,376847086.4,-55578167.42,42022516.83,13555650.59
"February 13, 2008",1302000000,790314000,511686000,316386000,109368000,876246000,747348000,554652000,860622000,351540000,91140000,834582000,467418000,891870000,281232000,128898000,-87234000,87234000,-31248000,70308000,-37758000
"February 14, 2008",1435890108,960610482.25,475279625.75,278562680.95,137845450.37,1020917866.79,880200636.2,555689471.8,931892680.09,373331428.08,130665999.83,1041020328.3,394869779.7,1109943053.48,182358043.72,143589010.8,-160819692.1,160819692.1,-178050373.39,190973384.36,-12923010.97
"February 17, 2008",1418091100,1110365331.3,307725768.7,153153838.8,160244294.3,1104692966.9,1083421600.4,334669499.6,1062150233.9,173007114.2,182933751.9,1138727153.3,279363946.7,1147235699.9,134718654.5,136136745.6,-55305552.9,55305552.9,-85085466,38288459.7,46797006.3
"February 18, 2008",5513880916,986984683.96,4526896232.04,1207539920.6,2150413557.24,2150413557.24,920818112.97,4593062803.03,1009040207.63,396999425.95,4113355163.34,1053151254.96,4460729661.04,3297300787.77,2023594296.17,192985832.06,-132333141.98,132333141.98,-2288260580.14,-1626594870.22,3920369331.28
"February 19, 2008",2222381293,1431213552.69,791167740.31,624489143.33,208903841.54,1388988308.13,1373431639.07,848949653.93,1364542113.9,648935337.56,211126222.84,1488995466.31,733385826.69,1415656883.64,600042949.11,206681460.25,-115563827.24,115563827.24,-51114769.74,48892388.45,4444762.59
"February 20, 2008",2319026825,1509686463.08,809340361.93,531057142.93,227264628.85,1560705053.23,1449391765.63,869635059.38,1537514784.98,598308920.85,183203119.18,1572300187.35,746726637.65,1583895321.48,466124391.83,269007111.7,-122908421.73,122908421.73,-46380536.5,132184529.03,-85803992.53
"February 21, 2008",2451793698,1439202900.73,1012590797.27,659532504.76,247631163.5,1547081823.44,1392618820.46,1059174877.54,1539726442.34,686502235.44,225565020.22,1488238774.69,963554923.31,1554437204.53,630110980.39,267245513.08,-95619954.22,95619954.22,-14710762.19,56391255.05,-41680492.87
"February 28, 2008",2385111983,1547937676.97,837174306.03,517569300.31,264747430.11,1602795252.58,1488309877.39,896802105.61,1547937676.97,548575756.09,288598549.94,1607565476.54,777546506.46,1657652828.19,486562844.53,240896310.28,-119255599.15,119255599.15,-109715151.22,62012911.56,47702239.66
"March 2, 2008",2363841953,1668872418.82,694969534.18,262386456.78,224564985.54,1876890510.68,1694874680.3,668967272.7,1895801246.31,312027137.8,156013568.9,1642870157.34,720971795.67,1860343617.01,210381933.82,293116402.17,52004522.97,-52004522.97,35457629.29,101645203.98,-137102833.27
"March 3, 2008",2552144334,1740562435.79,811581898.21,451729547.12,265423010.74,1834991776.15,1773740312.13,778404021.87,1903899673.16,449177402.78,199067258.05,1709936703.78,842207630.22,1768636023.46,451729547.12,334330907.75,63803608.35,-63803608.35,135263649.7,-2552144.33,-135263649.7
"March 4, 2008",2465404994,1743041330.76,722363663.24,335295079.18,266263739.35,1866311580.46,1691267825.88,774137168.12,1856449960.48,401861014.02,207094019.5,1797280240.63,668124753.37,1873707795.44,268729144.35,322968054.21,-106012414.74,106012414.74,-17257834.96,133131869.68,-115874034.72
"March 5, 2008",2672079674,1846407054.73,825672619.27,542432173.82,301945003.16,1827702497.02,1830374576.69,841705097.31,1768916744.19,633282882.74,269880047.07,1859767453.1,812312220.9,1889160329.52,448909385.23,334009959.25,-29392876.41,29392876.41,-120243585.33,184373497.51,-64129912.18
"March 6, 2008",2610804286,1435942357.3,1174861928.7,482998792.91,201031930.02,1926773563.07,1402001901.58,1208802384.42,1887611498.78,529993270.06,193199517.16,1467272008.73,1143532277.27,1963324823.07,436004315.76,211475147.17,-65270107.15,65270107.15,-75713324.29,93988954.3,-18275630
